"plant_id","p_supply","amf_pa","amf_richness","amf_csr","field_measure_date","shoot_g","root_g","root_shoot","tot_flower","flower_d_cm","nectar_mm","nectar_brix","pollen_density","protein_mg_l","hyphae_m_g","prop_col","col_hyp","spore_count"
1,"low","present","2 sp","competitor",2019-08-10,24.79,6.453308845,0.260319033682937,0,NA,NA,NA,NA,NA,0.0646864061543989,0,0.0154591986083307,10.5
1,"low","present","2 sp","competitor",2019-08-10,24.79,6.453308845,0.260319033682937,NA,NA,NA,NA,NA,NA,0.0646864061543989,0,0.0154591986083307,10.5
2,"low","present","2 sp","competitor",2019-08-10,28.21,6.759312053,0.239606949769585,3,NA,NA,NA,NA,NA,0.111957241421075,0,0.00893198141814665,11
2,"low","present","2 sp","competitor",2019-08-10,28.21,6.759312053,0.239606949769585,NA,NA,NA,NA,NA,NA,0.111957241421075,0,0.00893198141814665,11
3,"low","present","2 sp","competitor",2019-08-10,26.83,7.427612256,0.276839815728662,5,NA,NA,NA,NA,NA,0.0995175479298444,0.0103092783505155,0.113641047089384,19
3,"low","present","2 sp","competitor",2019-08-10,26.83,7.427612256,0.276839815728662,NA,NA,NA,NA,NA,NA,0.0995175479298444,0.0103092783505155,0.113641047089384,19
4,"low","present","2 sp","competitor",2019-08-10,28.59,6.442731539,0.225349126932494,3,NA,NA,NA,NA,NA,0.189083341066704,0,0.00528867320811316,9.5
4,"low","present","2 sp","competitor",2019-08-10,28.59,6.442731539,0.225349126932494,NA,NA,NA,NA,NA,NA,0.189083341066704,0,0.00528867320811316,9.5
5,"low","present","2 sp","competitor",2019-08-10,24.52,6.728341814,0.274402194698206,2,NA,NA,NA,NA,NA,0.129372812308798,0,0.00772959930416535,7.5
5,"low","present","2 sp","competitor",2019-08-10,24.52,6.728341814,0.274402194698206,NA,NA,NA,NA,NA,NA,0.129372812308798,0,0.00772959930416535,7.5
6,"high","present","2 sp","competitor",2019-08-10,29.18,8.203842031,0.281146060006854,3,NA,NA,NA,NA,NA,0.08956579313686,0,0.0111649767726833,0
6,"high","present","2 sp","competitor",2019-08-10,29.18,8.203842031,0.281146060006854,NA,NA,NA,NA,NA,NA,0.08956579313686,0,0.0111649767726833,0
7,"high","present","2 sp","competitor",2019-08-10,29.51,7.323471074,0.248169131616401,3,NA,NA,NA,NA,NA,0.417973701305347,0.0202020202020202,0.0507257278048966,5
7,"high","present","2 sp","competitor",2019-08-10,29.51,7.323471074,0.248169131616401,NA,NA,NA,NA,NA,NA,0.417973701305347,0.0202020202020202,0.0507257278048966,5
8,"high","present","2 sp","competitor",2019-08-10,28.93,6.910994318,0.238886772139647,1,NA,NA,NA,NA,NA,0.164203954084243,0,0.00608998733055455,3
8,"high","present","2 sp","competitor",2019-08-10,28.93,6.910994318,0.238886772139647,NA,NA,NA,NA,NA,NA,0.164203954084243,0,0.00608998733055455,3
9,"high","present","2 sp","competitor",2019-08-10,33.82,8.213228719,0.242851233560024,0,NA,NA,NA,NA,NA,0.221426544143904,0,0.00451617037996179,14.5
9,"high","present","2 sp","competitor",2019-08-10,33.82,8.213228719,0.242851233560024,NA,NA,NA,NA,NA,NA,0.221426544143904,0,0.00451617037996179,14.5
10,"high","present","2 sp","competitor",2019-08-10,32.97,8.256269288,0.250417630815893,2,NA,NA,NA,NA,NA,0.353287295150948,0,0.00283055749166619,8
10,"high","present","2 sp","competitor",2019-08-10,32.97,8.256269288,0.250417630815893,NA,NA,NA,NA,NA,NA,0.353287295150948,0,0.00283055749166619,8
11,"low","present","6 sp","csr",2019-08-10,30.14,7.610967572,0.252520490112807,2,NA,NA,NA,NA,NA,1.16933118817567,0.603448275862069,0.516917945894437,10.5
11,"low","present","6 sp","csr",2019-08-10,30.14,7.610967572,0.252520490112807,NA,NA,NA,NA,NA,NA,1.16933118817567,0.603448275862069,0.516917945894437,10.5
12,"low","present","6 sp","csr",2019-08-10,28.13,8.441557522,0.300090917952364,3,NA,NA,NA,NA,NA,0.696622835508911,0.253521126760563,0.365364317370712,0.5
12,"low","present","6 sp","csr",2019-08-10,28.13,8.441557522,0.300090917952364,NA,NA,NA,NA,NA,NA,0.696622835508911,0.253521126760563,0.365364317370712,0.5
13,"low","present","6 sp","csr",2019-08-10,27.24,9.177383178,0.336908339867841,3,NA,NA,NA,NA,NA,0.577201777993098,0.569444444444444,0.988292943982001,18.5
13,"low","present","6 sp","csr",2019-08-10,27.24,9.177383178,0.336908339867841,NA,NA,NA,NA,NA,NA,0.577201777993098,0.569444444444444,0.988292943982001,18.5
14,"low","present","6 sp","csr",2019-08-10,26.86,7.617657298,0.283606005137751,2,NA,NA,NA,NA,NA,0.90809762485983,0.579710144927536,0.639479863210932,30
14,"low","present","6 sp","csr",2019-08-10,26.86,7.617657298,0.283606005137751,NA,NA,NA,NA,NA,NA,0.90809762485983,0.579710144927536,0.639479863210932,30
15,"low","present","6 sp","csr",2019-08-10,23.17,7.35219228,0.317315160984031,3,NA,NA,NA,NA,NA,1.1817708816669,0.771428571428571,0.653619566543265,3.5
