"field_measure_date","plant_id","p_supply","amf_csr","amf_richness","amf_pa","replicate","visit_time","visits"
2019-08-23,1,"low","competitor","2 sp","present",1,239,7
2019-08-23,2,"low","competitor","2 sp","present",2,62,2
2019-08-23,5,"low","competitor","2 sp","present",5,151,4
2019-08-23,10,"high","competitor","2 sp","present",5,38,2
2019-08-23,13,"low","csr","6 sp","present",3,113,2
2019-08-23,14,"low","csr","6 sp","present",4,461,6
2019-08-23,15,"low","csr","6 sp","present",5,2,1
2019-08-23,16,"high","csr","6 sp","present",1,84,1
2019-08-23,17,"high","csr","6 sp","present",2,204,4
2019-08-23,18,"high","csr","6 sp","present",3,105,3
2019-08-23,21,"low","none","0 sp","absent",1,172,8
2019-08-23,22,"low","none","0 sp","absent",2,39,2
2019-08-23,23,"low","none","0 sp","absent",3,27,2
2019-08-23,24,"low","none","0 sp","absent",4,14,1
2019-08-23,25,"low","none","0 sp","absent",5,192,4
2019-08-23,26,"high","none","0 sp","absent",1,51,1
2019-08-23,27,"high","none","0 sp","absent",2,405,8
2019-08-23,29,"high","none","0 sp","absent",4,109,3
2019-08-23,30,"high","none","0 sp","absent",5,479,10
2019-08-23,32,"low","ruderal","2 sp","present",2,201,2
2019-08-23,33,"low","ruderal","2 sp","present",3,152,4
2019-08-23,35,"low","ruderal","2 sp","present",5,170,6
2019-08-23,37,"high","ruderal","2 sp","present",2,25,2
2019-08-23,38,"high","ruderal","2 sp","present",3,56,2
2019-08-23,40,"high","ruderal","2 sp","present",5,12,1
2019-08-23,42,"low","stress tolerant","2 sp","present",2,10,1
2019-08-23,46,"high","stress tolerant","2 sp","present",1,11,2
2019-08-23,48,"high","stress tolerant","2 sp","present",3,18,1
2019-08-23,49,"high","stress tolerant","2 sp","present",4,206,3
2019-08-24,3,"low","competitor","2 sp","present",3,89,3
2019-08-24,4,"low","competitor","2 sp","present",4,190,5
2019-08-24,5,"low","competitor","2 sp","present",5,126,7
2019-08-24,6,"high","competitor","2 sp","present",1,328,4
2019-08-24,7,"high","competitor","2 sp","present",2,234,9
2019-08-24,8,"high","competitor","2 sp","present",3,106,6
2019-08-24,9,"high","competitor","2 sp","present",4,101,3
2019-08-24,10,"high","competitor","2 sp","present",5,287,3
2019-08-24,12,"low","csr","6 sp","present",2,385,10
2019-08-24,14,"low","csr","6 sp","present",4,545,8
2019-08-24,15,"low","csr","6 sp","present",5,20,1
2019-08-24,19,"high","csr","6 sp","present",4,131,3
2019-08-24,20,"high","csr","6 sp","present",5,296,7
