"plant_id","p_supply","amf_csr","amf_richness","amf_pa","replicate","root_g","shoot_g","root_shoot","prop_col","tot_amf_counts","hyphae_m_g","spore_count","col_hyp"
1,"low","competitor","2 sp","present",1,6.453308845,24.79,0.260319033682937,0,97,0.0646864061543989,10.5,0.0154591986083307
2,"low","competitor","2 sp","present",2,6.759312053,28.21,0.239606949769585,0,100,0.111957241421075,11,0.00893198141814665
3,"low","competitor","2 sp","present",3,7.427612256,26.83,0.276839815728662,0.0103092783505155,97,0.0995175479298444,19,0.113641047089384
4,"low","competitor","2 sp","present",4,6.442731539,28.59,0.225349126932494,0,97,0.189083341066704,9.5,0.00528867320811316
5,"low","competitor","2 sp","present",5,6.728341814,24.52,0.274402194698206,0,99,0.129372812308798,7.5,0.00772959930416535
6,"high","competitor","2 sp","present",1,8.203842031,29.18,0.281146060006854,0,99,0.08956579313686,0,0.0111649767726833
7,"high","competitor","2 sp","present",2,7.323471074,29.51,0.248169131616401,0.0202020202020202,99,0.417973701305347,5,0.0507257278048966
8,"high","competitor","2 sp","present",3,6.910994318,28.93,0.238886772139647,0,98,0.164203954084243,3,0.00608998733055455
9,"high","competitor","2 sp","present",4,8.213228719,33.82,0.242851233560024,0,95,0.221426544143904,14.5,0.00451617037996179
10,"high","competitor","2 sp","present",5,8.256269288,32.97,0.250417630815893,0,100,0.353287295150948,8,0.00283055749166619
11,"low","csr","6 sp","present",1,7.610967572,30.14,0.252520490112807,0.603448275862069,58,1.16933118817567,10.5,0.516917945894437
12,"low","csr","6 sp","present",2,8.441557522,28.13,0.300090917952364,0.253521126760563,71,0.696622835508911,0.5,0.365364317370712
13,"low","csr","6 sp","present",3,9.177383178,27.24,0.336908339867841,0.569444444444444,72,0.577201777993098,18.5,0.988292943982001
14,"low","csr","6 sp","present",4,7.617657298,26.86,0.283606005137751,0.579710144927536,69,0.90809762485983,30,0.639479863210932
15,"low","csr","6 sp","present",5,7.35219228,23.17,0.317315160984031,0.771428571428571,70,1.1817708816669,3.5,0.653619566543265
16,"high","csr","6 sp","present",1,7.940564306,26.08,0.304469490260736,0.0515463917525773,97,0.253769747221103,8,0.207063262378533
17,"high","csr","6 sp","present",2,9.867164959,34.13306122,0.289079402969529,0.0326086956521739,92,0.524955065329929,10,0.0640220427838927
18,"high","csr","6 sp","present",3,8.930747,29.65,0.0988447650252951,0.0217391304347826,92,0.53739475882116,4.5,0.042313643855894
